pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HR1 3WA","HR1  3WA","HR1 3WA","200205","200306","1","362248","0243101","5","E00070754","E99999999","E99999999","E06000019","E05009485","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009485","E99999999","E01014014","E02002922","E33021447","E38000078","E34999999","E35999999","F1","1B3",52.084966,-2.552359,"E37000036","","E23000016",13296,"E56000007","E54000019"
"HR1 3WR","HR1  3WR","HR1 3WR","200304","200407","1","362248","0243101","5","E00070754","E99999999","E99999999","E06000019","E05009485","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009485","E99999999","E01014014","E02002922","E33021447","E38000078","E34999999","E35999999","F1","1B3",52.084966,-2.552359,"E37000036","","E23000016",13296,"E56000007","E54000019"
"HR1 3XB","HR1  3XB","HR1 3XB","200401","200604","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3XP","HR1  3XP","HR1 3XP","200311","200406","1","362248","0243101","5","E00070754","E99999999","E99999999","E06000019","E05009485","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009485","E99999999","E01014014","E02002922","E33021447","E38000078","E34999999","E35999999","F1","1B3",52.084966,-2.552359,"E37000036","","E23000016",13296,"E56000007","E54000019"
"HR1 3YA","HR1  3YA","HR1 3YA","199706","200703","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YB","HR1  3YB","HR1 3YB","199405","201506","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YD","HR1  3YD","HR1 3YD","199412","199507","1","353000","0246900","8","E00071104","E99999999","E99999999","E06000019","E05009484","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009484","E99999999","E01014081","E02002912","E33021405","E38000078","E34999999","E35999999","F1","1A2",52.118408,-2.687838,"E37000036","","E23000016",20776,"E56000007","E54000019"
"HR1 3YE","HR1  3YE","HR1 3YE","199512","200702","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YF","HR1  3YF","HR1 3YF","200006","200103","1","354734","0246837","6","E00071104","E99999999","E99999999","E06000019","E05009484","E18000005","E40000002","E92000001","E12000005","E14000847","E15000005","E24000042","E30000216","E16000015","E05009484","E99999999","E01014081","E02002912","E33021405","E38000078","E34999999","E35999999","F1","1A2",52.117987,-2.662507,"E37000036","","E23000016",20776,"E56000007","E54000019"
"HR1 3YG","HR1  3YG","HR1 3YG","200006","200410","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YH","HR1  3YH","HR1 3YH","200012","200310","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YJ","HR1  3YJ","HR1 3YJ","199712","200212","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YL","HR1  3YL","HR1 3YL","200112","200806","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YN","HR1  3YN","HR1 3YN","200106","200510","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YP","HR1  3YP","HR1 3YP","199806","200212","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
"HR1 3YQ","HR1  3YQ","HR1 3YQ","200112","200707","1","351420","0240489","1","E00070724","E99999999","E99999999","E06000019","E05009489","E18000005","E40000002","E92000001","E12000005","E14000743","E15000005","E24000042","E30000216","E16000015","E05009489","E99999999","E01014010","E02002916","E33018740","E38000078","E34004334","E35999999","C1","4A2",52.060637,-2.709996,"E37000036","","E23000016",6982,"E56000007","E54000019"
