pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HS2 9LA","HS2  9LA","HS2 9LA","199507","","0","132054","0921997","1","S00135113","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001177","S99999999","S01009025","S02001690","S34001194","S03000041","S99999999","S99999999","8","1A1",58.105570,-6.550121,"S99999999","S99999999","S23000009",2423,"S99999999","S99999999"
"HS2 9LB","HS2  9LB","HS2 9LB","199507","200006","0","131939","0920684","1","S00135113","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001177","S99999999","S01009025","S02001690","S34001194","S03000041","S99999999","S99999999","8","1A1",58.093744,-6.550565,"S99999999","S99999999","S23000009",2423,"S99999999","S99999999"
"HS2 9LE","HS2  9LE","HS2 9LE","199507","","0","124459","0917340","1","S00135105","S99999999","S99999999","S12000013","S13002602","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001177","S99999999","S01009025","S02001690","S34001194","S03000041","S99999999","S99999999","8","6A3",58.059222,-6.673097,"S99999999","S99999999","S23000009",2423,"S99999999","S99999999"
"HS2 9LG","HS2  9LG","HS2 9LG","199507","","0","128167","0916673","1","S00135105","S99999999","S99999999","S12000013","S13002602","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001177","S99999999","S01009025","S02001690","S34001194","S03000041","S99999999","S99999999","8","6A3",58.055538,-6.609698,"S99999999","S99999999","S23000009",2423,"S99999999","S99999999"
"HS2 9LN","HS2  9LN","HS2 9LN","199507","","0","118468","0932790","1","S00135118","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.193744,-6.792842,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LP","HS2  9LP","HS2 9LP","199507","","0","116365","0933894","1","S00135118","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.202278,-6.829829,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LQ","HS2  9LQ","HS2 9LQ","199507","","0","132633","0911959","1","S00135105","S99999999","S99999999","S12000013","S13002602","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001177","S99999999","S01009025","S02001690","S34001194","S03000041","S99999999","S99999999","8","6A3",58.016044,-6.528914,"S99999999","S99999999","S23000009",2423,"S99999999","S99999999"
"HS2 9LS","HS2  9LS","HS2 9LS","199507","","0","116738","0934534","1","S00135124","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.208245,-6.824284,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LT","HS2  9LT","HS2 9LT","199507","","0","116023","0936741","1","S00135123","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1B1",58.227537,-6.839100,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LU","HS2  9LU","HS2 9LU","199507","","0","116088","0936318","1","S00135123","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1B1",58.223793,-6.837481,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LW","HS2  9LW","HS2 9LW","199507","","0","117520","0933504","1","S00135118","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.199528,-6.809775,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LX","HS2  9LX","HS2 9LX","199507","","0","118796","0934740","1","S00135123","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1B1",58.211405,-6.789636,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LY","HS2  9LY","HS2 9LY","199507","","0","118299","0934294","1","S00135123","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1B1",58.207063,-6.797528,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9LZ","HS2  9LZ","HS2 9LZ","199507","","0","115231","0939827","1","S00135124","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.254643,-6.856318,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9NA","HS2  9NA","HS2 9NA","199507","","0","114114","0938499","1","S00135124","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.242035,-6.873647,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9NB","HS2  9NB","HS2 9NB","199507","","0","114804","0936583","1","S00135124","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.225336,-6.859586,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9ND","HS2  9ND","HS2 9ND","199507","","0","115177","0934744","1","S00135124","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001161","S99999999","S01009027","S02001690","S34001200","S03000041","S99999999","S99999999","8","1A1",58.209119,-6.851008,"S99999999","S99999999","S23000009",2654,"S99999999","S99999999"
"HS2 9NF","HS2  9NF","HS2 9NF","200811","","0","136972","0929032","1","S00135116","S99999999","S99999999","S12000013","S13002603","S08000028","S99999999","S92000003","S99999999","S14000027","S15000001","S09000003","S22000013","S03000041","S31001176","S99999999","S01009026","S02001690","S34001207","S03000041","S99999999","S99999999","8","1A4",58.171511,-6.474842,"S99999999","S99999999","S23000009",3371,"S99999999","S99999999"
