pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"HX3 9SJ","HX3  9SJ","HX3 9SJ","198001","","0","411600","0423702","1","E00055395","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","8C1",53.709615,-1.825738,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SL","HX3  9SL","HX3 9SL","198001","","0","411522","0423885","1","E00055395","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","8C1",53.711261,-1.826913,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SN","HX3  9SN","HX3 9SN","198001","","0","411498","0423634","1","E00055395","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","8C1",53.709021,-1.827288,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SP","HX3  9SP","HX3 9SP","198001","","0","411424","0423582","1","E00055398","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","5B3",53.708540,-1.828409,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SQ","HX3  9SQ","HX3 9SQ","198001","","0","411318","0424097","1","E00055392","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010991","E02002261","E33011810","E38000025","E34004684","E35000317","C1","8C1",53.713171,-1.829996,"E37000020","","E23000010",17429,"E56000003","E54000005"
"HX3 9SS","HX3  9SS","HX3 9SS","199606","","0","411482","0423820","1","E00055395","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","8C1",53.710678,-1.827521,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9ST","HX3  9ST","HX3 9ST","200701","","0","410561","0423124","1","E00055396","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","A1","6B2",53.704442,-1.841498,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SW","HX3  9SW","HX3 9SW","198001","","0","411293","0423570","1","E00055427","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","A1","8B1",53.708435,-1.830394,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SX","HX3  9SX","HX3 9SX","198001","","0","413223","0423374","1","E00054824","E99999999","E99999999","E08000033","E05001371","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001371","E99999999","E01010877","E02002262","E33011819","E38000025","E34999999","E35999999","E1","5A1",53.706644,-1.801166,"E37000020","","E23000010",10573,"E56000003","E54000005"
"HX3 9SY","HX3  9SY","HX3 9SY","198001","200408","1","411238","0423445","1","E00055396","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","A1","6B2",53.707313,-1.831232,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9SZ","HX3  9SZ","HX3 9SZ","198001","","0","412876","0423440","1","E00054824","E99999999","E99999999","E08000033","E05001371","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001371","E99999999","E01010877","E02002262","E33011819","E38000025","E34999999","E35999999","E1","5A1",53.707230,-1.806418,"E37000020","","E23000010",10573,"E56000003","E54000005"
"HX3 9TA","HX3  9TA","HX3 9TA","198001","","0","412697","0423754","1","E00054824","E99999999","E99999999","E08000033","E05001371","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001371","E99999999","E01010877","E02002262","E33011819","E38000025","E34999999","E35999999","E1","5A1",53.710057,-1.809117,"E37000020","","E23000010",10573,"E56000003","E54000005"
"HX3 9TB","HX3  9TB","HX3 9TB","198001","","0","412274","0423603","1","E00054824","E99999999","E99999999","E08000033","E05001371","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001371","E99999999","E01010877","E02002262","E33011819","E38000025","E34999999","E35999999","E1","5A1",53.708710,-1.815531,"E37000020","","E23000010",10573,"E56000003","E54000005"
"HX3 9TD","HX3  9TD","HX3 9TD","198001","","0","412009","0423601","1","E00055398","E99999999","E99999999","E08000033","E05001386","E18000003","E40000001","E92000001","E12000003","E14000723","E15000003","E24000045","E30000029","E16000040","E05001386","E99999999","E01010990","E02002261","E33011813","E38000025","E34004684","E35000317","C1","5B3",53.708698,-1.819546,"E37000020","","E23000010",16626,"E56000003","E54000005"
"HX3 9TE","HX3  9TE","HX3 9TE","198001","","0","412155","0423886","1","E00055410","E99999999","E99999999","E08000033","E05001375","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001375","E99999999","E01010991","E02002261","E33011811","E38000025","E34999999","E35999999","F1","1B2",53.711256,-1.817323,"E37000020","","E23000010",17429,"E56000003","E54000005"
"HX3 9TF","HX3  9TF","HX3 9TF","198001","","0","411536","0424604","1","E00055410","E99999999","E99999999","E08000033","E05001375","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001375","E99999999","E01010991","E02002261","E33011811","E38000025","E34999999","E35999999","F1","1B2",53.717724,-1.826674,"E37000020","","E23000010",17429,"E56000003","E54000005"
"HX3 9TG","HX3  9TG","HX3 9TG","198001","","0","411863","0423864","1","E00055410","E99999999","E99999999","E08000033","E05001375","E18000003","E40000001","E92000001","E12000003","E14000614","E15000003","E24000045","E30000029","E16000040","E05001375","E99999999","E01010991","E02002261","E33011811","E38000025","E34999999","E35999999","F1","1B2",53.711065,-1.821748,"E37000020","","E23000010",17429,"E56000003","E54000005"
