pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"FK103AH","FK10 3AH","FK10 3AH","198001","","0","287485","0695690","1","S00096162","S99999999","S99999999","S12000005","S13002875","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000074","S99999999","S01007420","S02001394","S34000741","S03000009","S99999999","S99999999","2","8A1",56.140603,-3.812281,"S99999999","S99999999","S23000009",5225,"S99999999","S99999999"
"FK103AJ","FK10 3AJ","FK10 3AJ","198001","","0","287366","0695666","1","S00096162","S99999999","S99999999","S12000005","S13002875","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000074","S99999999","S01007420","S02001394","S34000741","S03000009","S99999999","S99999999","2","8A1",56.140359,-3.814185,"S99999999","S99999999","S23000009",5225,"S99999999","S99999999"
"FK103AL","FK10 3AL","FK10 3AL","198001","","0","287793","0695620","1","S00095984","S99999999","S99999999","S12000005","S13002875","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000075","S99999999","S01007420","S02001394","S34000736","S03000009","S99999999","S99999999","6","1B3",56.140047,-3.807298,"S99999999","S99999999","S23000009",5225,"S99999999","S99999999"
"FK103AN","FK10 3AN","FK10 3AN","198001","","0","289719","0695826","1","S00096117","S99999999","S99999999","S12000005","S13002877","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000065","S99999999","S01007432","S02001397","S34000747","S03000009","S99999999","S99999999","6","1C1",56.142346,-3.776405,"S99999999","S99999999","S23000009",2390,"S99999999","S99999999"
"FK103AP","FK10 3AP","FK10 3AP","198001","","0","290487","0695807","1","S00096117","S99999999","S99999999","S12000005","S13002877","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000065","S99999999","S01007432","S02001397","S34000747","S03000009","S99999999","S99999999","6","1C1",56.142346,-3.764037,"S99999999","S99999999","S23000009",2390,"S99999999","S99999999"
"FK103AQ","FK10 3AQ","FK10 3AQ","198001","","0","289875","0694762","1","S00096253","S99999999","S99999999","S12000005","S13002877","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000073","S99999999","S01007457","S02001401","S34000733","S03000009","S99999999","S99999999","2","6B2",56.132827,-3.773456,"S99999999","S99999999","S23000009",1565,"S99999999","S99999999"
"FK103AR","FK10 3AR","FK10 3AR","198001","","0","290431","0695928","1","S00096117","S99999999","S99999999","S12000005","S13002877","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000065","S99999999","S01007432","S02001397","S34000747","S03000009","S99999999","S99999999","6","1C1",56.143426,-3.764995,"S99999999","S99999999","S23000009",2390,"S99999999","S99999999"
"FK103AS","FK10 3AS","FK10 3AS","198001","","0","290159","0695671","1","S00096117","S99999999","S99999999","S12000005","S13002877","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000065","S99999999","S01007432","S02001397","S34000747","S03000009","S99999999","S99999999","6","1C1",56.141056,-3.769264,"S99999999","S99999999","S23000009",2390,"S99999999","S99999999"
"FK103AT","FK10 3AT","FK10 3AT","201211","","0","288438","0695768","1","S00095984","S99999999","S99999999","S12000005","S13002875","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000075","S99999999","S01007420","S02001394","S34000736","S03000009","S99999999","S99999999","6","1B3",56.141527,-3.796986,"S99999999","S99999999","S23000009",5225,"S99999999","S99999999"
"FK103AU","FK10 3AU","FK10 3AU","198001","","0","291766","0694666","1","S00095833","S99999999","S99999999","S12000005","S13002879","S08000019","S99999999","S92000003","S99999999","S14000050","S15000001","S09000002","S22000061","S03000009","S31000067","S99999999","S01007454","S02001401","S34000759","S03000009","S99999999","S99999999","6","1A3",56.132392,-3.743000,"S99999999","S99999999","S23000009",1678,"S99999999","S99999999"
