DZ11CD,IMD16
S01006905,5669
S01006906,2652
S01006907,4547
S01006908,4630
S01006909,6401
S01006910,6308
S01006911,6460
S01006912,5589
S01006913,5895
S01006914,5979
S01006915,5228
S01006916,6202
S01006917,6577
S01006918,6035
S01006919,5868
S01006920,5252
S01006921,6734
S01006922,5085
S01006923,5658
S01006924,4234
S01006925,5956
S01006926,5663
S01006927,5887
S01006928,5028
S01006929,6559
S01006930,6942
S01006931,4913
S01006932,6364
S01006933,6945
S01006934,5263
S01006935,6964
S01006936,6442
S01006937,6597
S01006938,6129
S01006939,6914
S01006940,6867
S01006941,6090
S01006942,5367
S01006943,6713
S01006944,6245
S01006945,6816
S01006946,5659
S01006947,5921
S01006948,5254
S01006949,5567
S01006950,4885
S01006951,5551
S01006952,3906
S01006953,5886
S01006954,5113
S01006955,4301
S01006956,5993
S01006957,5800
S01006958,6685
S01006959,3489
S01006960,6641
S01006961,6573
S01006962,6680
S01006963,6226
S01006964,5610
S01006965,6297
S01006966,3756
S01006967,6770
S01006968,5532
S01006969,5023
S01006970,6747
S01006971,4133
S01006972,5482
S01006973,5471
S01006974,5973
S01006975,4976
S01006976,5767
S01006977,3752
S01006978,5199
S01006979,5721
S01006980,5403
S01006981,5555
S01006982,6518
S01006983,5672
S01006984,5802
S01006985,6694
S01006986,5824
S01006987,5397
S01006988,4894
S01006989,5930
S01006990,6467
S01006991,4063
S01006992,4831
S01006993,3849
S01006994,3352
S01006995,5203
S01006996,5639
S01006997,5730
S01006998,5421
S01006999,4504
S01007000,5329
S01007001,5174
S01007002,4122
S01007003,5149
S01007004,4759
S01007005,5694
S01007006,4140
S01007007,4072
S01007008,3634
S01007009,4151
S01007010,6330
S01007011,2717
S01007012,1927
S01007013,3239
S01007014,5591
S01007015,3903
S01007016,4395
S01007017,3368
S01007018,5353
S01007019,3712
S01007020,4603
S01007021,4774
S01007022,6352
S01007023,4525
S01007024,3482
S01007025,3016
S01007026,4433
S01007027,3182
S01007028,3364
S01007029,4011
S01007030,3924
S01007031,2740
S01007032,2369
S01007033,3321
S01007034,3328
S01007035,1876
S01007036,4623
S01007037,3561
S01007038,3149
S01007039,2940
S01007040,3806
S01007041,3862
S01007042,3647
S01007043,4373
S01007044,4233
S01007045,2821
S01007046,2973
S01007047,4050
S01007048,3750
S01007049,2922
S01007050,4065
S01007051,5505
S01007052,4384
S01007053,4272
S01007054,4108
S01007055,4867
S01007056,3790
S01007057,5350
S01007058,3555
S01007059,4671
S01007060,2727
S01007061,5248
S01007062,4726
S01007063,5464
S01007064,4285
S01007065,5210
S01007066,4189
S01007067,5146
S01007068,2700
S01007069,4454
S01007070,2175
S01007071,4667
S01007072,6087
S01007073,5665
S01007074,3673
S01007075,2431
S01007076,3648
S01007077,4533
S01007078,2874
S01007079,2464
S01007080,2298
S01007081,2043
S01007082,1994
S01007083,1390
S01007084,4062
S01007085,2466
S01007086,754
S01007087,1217
S01007088,884
S01007089,5569
S01007090,5700
S01007091,3991
S01007092,2346
S01007093,5809
S01007094,4251
S01007095,4028
S01007096,5269
S01007097,3584
S01007098,5749
S01007099,4956
S01007100,3825
S01007101,2203
S01007102,3540
S01007103,4688
S01007104,4053
S01007105,3833
S01007106,3405
S01007107,4886
S01007108,2916
S01007109,2705
S01007110,2765
S01007111,3952
S01007112,5963
S01007113,4699
S01007114,5538
S01007115,4417
S01007116,6239
S01007117,6626
S01007118,2035
S01007119,1778
S01007120,1648
S01007121,1677
S01007122,3296
S01007123,3299
S01007124,4489
S01007125,3178
S01007126,536
S01007127,1078
S01007128,2020
S01007129,5814
S01007130,5529
S01007131,5946
S01007132,6675
S01007133,3537
S01007134,3504
S01007135,5068
S01007136,5579
S01007137,5969
S01007138,5037
S01007139,4546
S01007140,4557
S01007141,4199
S01007142,6135
S01007143,6885
S01007144,3962
S01007145,4778
S01007146,6058
S01007147,5510
S01007148,6299
S01007149,5641
S01007150,6335
S01007151,6631
S01007152,5561
S01007153,5134
S01007154,4117
S01007155,5242
S01007156,4762
S01007157,3003
S01007158,5795
S01007159,2368
S01007160,3479
S01007161,3863
S01007162,3780
S01007163,5077
S01007164,5216
S01007165,5574
S01007166,5747
S01007167,6100
S01007168,5980
S01007169,5959
S01007170,4685
S01007171,4903
S01007172,4015
S01007173,5667
S01007174,3444
S01007175,5495
S01007176,5320
S01007177,2015
S01007178,1136
S01007179,6207
S01007180,5039
S01007181,5092
S01007182,4281
S01007183,2825
S01007184,1967
S01007185,1201
S01007186,631
S01007187,1864
S01007188,2523
S01007189,1794
S01007190,3722
S01007191,3424
S01007192,2246
S01007193,3635
S01007194,1096
S01007195,1337
S01007196,2553
S01007197,1084
S01007198,1245
S01007199,655
S01007200,3228
S01007201,2348
S01007202,2083
S01007203,2995
S01007204,4240
S01007205,3707
S01007206,3933
S01007207,3675
S01007208,1800
S01007209,2418
S01007210,1917
S01007211,2252
S01007212,5273
S01007213,5171
S01007214,1684
S01007215,3603
S01007216,5064
S01007217,2299
S01007218,5682
S01007219,2965
S01007220,2987
S01007221,5857
S01007222,3625
S01007223,6150
S01007224,5382
S01007225,4218
S01007226,4562
S01007227,3380
S01007228,3257
S01007229,4040
S01007230,1545
S01007231,1914
S01007232,1140
S01007233,4069
S01007234,3242
S01007235,2603
S01007236,3348
S01007237,6153
S01007238,4351
S01007239,6119
S01007240,3665
S01007241,5008
S01007242,3997
S01007243,4731
S01007244,4139
S01007245,3674
S01007246,3843
S01007247,4329
S01007248,6581
S01007249,4201
S01007250,3260
S01007251,3866
S01007252,4492
S01007253,6132
S01007254,2406
S01007255,1375
S01007256,2219
S01007257,1405
S01007258,3279
S01007259,2563
S01007260,1344
S01007261,5169
S01007262,3193
S01007263,3014
S01007264,4405
S01007265,2892
S01007266,3341
S01007267,3820
S01007268,4249
S01007269,4551
S01007270,4088
S01007271,3996
S01007272,1740
S01007273,3858
S01007274,2997
S01007275,4992
S01007276,4409
S01007277,5724
S01007278,6225
S01007279,4253
S01007280,3612
S01007281,3965
S01007282,3782
S01007283,5573
S01007284,3195
S01007285,3919
S01007286,5379
S01007287,3773
S01007288,3789
S01007289,4561
S01007290,3981
S01007291,2000
S01007292,5576
S01007293,1767
S01007294,4467
S01007295,939
S01007296,1953
S01007297,5074
S01007298,3937
S01007299,3453
S01007300,1947
S01007301,5234
S01007302,2532
S01007303,3785
S01007304,3989
S01007305,4496
S01007306,4471
S01007307,4010
S01007308,3583
S01007309,3867
S01007310,3607
S01007311,4586
S01007312,3749
S01007313,4161
S01007314,4864
S01007315,4717
S01007316,2258
S01007317,3998
S01007318,3293
S01007319,3692
S01007320,4475
S01007321,3684
S01007322,4101
S01007323,4112
S01007324,4239
S01007325,3753
S01007326,3865
S01007327,2715
S01007328,3515
S01007329,3318
S01007330,3155
S01007331,3169
S01007332,3574
S01007333,4200
S01007334,876
S01007335,1780
S01007336,858
S01007337,2046
S01007338,3653
S01007339,4810
S01007340,2079
S01007341,4099
S01007342,5369
S01007343,3568
S01007344,2515
S01007345,917
S01007346,444
S01007347,1578
S01007348,2379
S01007349,2250
S01007350,1458
S01007351,3414
S01007352,3393
S01007353,3190
S01007354,3353
S01007355,2976
S01007356,2714
S01007357,3779
S01007358,4280
S01007359,2160
S01007360,4206
S01007361,3681
S01007362,3309
S01007363,2833
S01007364,923
S01007365,2358
S01007366,349
S01007367,1474
S01007368,541
S01007369,2094
S01007370,1480
S01007371,3167
S01007372,3931
S01007373,4310
S01007374,4227
S01007375,3805
S01007376,1839
S01007377,4771
S01007378,6417
S01007379,2856
S01007380,3086
S01007381,5643
S01007382,5007
S01007383,4466
S01007384,5152
S01007385,4261
S01007386,6041
S01007387,6078
S01007388,6397
S01007389,3088
S01007390,3146
S01007391,6579
S01007392,6504
S01007393,5571
S01007394,4927
S01007395,1259
S01007396,1936
S01007397,4319
S01007398,965
S01007399,223
S01007400,4530
S01007401,5922
S01007402,5690
S01007403,5636
S01007404,3556
S01007405,5335
S01007406,5490
S01007407,5195
S01007408,3387
S01007409,3125
S01007410,748
S01007411,692
S01007412,2975
S01007413,5040
S01007414,5944
S01007415,1052
S01007416,589
S01007417,5345
S01007418,1884
S01007419,1466
S01007420,5225
S01007421,3987
S01007422,3613
S01007423,4730
S01007424,6484
S01007425,3680
S01007426,2081
S01007427,1949
S01007428,2386
S01007429,3202
