LSOA11CD,LSOA11NM,IMD14
W01001131,The Vale of Glamorgan 008C,777
W01000393,Wrexham 009C,778
W01001320,Merthyr Tydfil 007C,779
W01000408,Wrexham 013D,780
W01000909,Neath Port Talbot 009A,781
W01001068,The Vale of Glamorgan 009B,782
W01000246,Denbighshire 010B,783
W01001647,Newport 015F,784
W01001360,Caerphilly 002A,785
W01000218,Denbighshire 001A,786
W01001475,Blaenau Gwent 003D,787
W01000698,Carmarthenshire 015B,788
W01001164,Rhondda Cynon Taf 019A,789
W01000132,Conwy 001A,790
W01000761,Swansea 013B,791
W01001172,Rhondda Cynon Taf 020A,792
W01000802,Swansea 007D,793
W01001229,Rhondda Cynon Taf 017B,794
W01001478,Blaenau Gwent 006C,795
W01000632,Carmarthenshire 021A,796
W01000533,Ceredigion 010D,797
W01001437,Blaenau Gwent 008C,798
W01000117,Gwynedd 017E,799
W01001941,Cardiff 032G,800
W01000706,Carmarthenshire 025C,801
W01000717,Carmarthenshire 016E,802
W01001557,Monmouthshire 001C,803
W01001213,Rhondda Cynon Taf 011A,804
W01001878,Cardiff 011B,805
W01000522,Ceredigion 010B,806
W01000420,Wrexham 016E,807
W01000217,Denbighshire 008C,808
W01001099,The Vale of Glamorgan 013D,809
W01001551,Monmouthshire 010C,810
W01000048,Gwynedd 016A,811
W01000995,Bridgend 001E,812
W01000505,Powys 021E,813
W01001825,Cardiff 029D,814
W01001328,Caerphilly 014B,815
W01000617,Pembrokeshire 002F,816
W01001717,Cardiff 035D,817
W01000765,Swansea 015C,818
W01000542,Ceredigion 011F,819
W01000535,Ceredigion 008C,820
W01001939,Cardiff 032F,821
W01000851,Swansea 021C,822
W01001096,The Vale of Glamorgan 007E,823
W01001007,Bridgend 009D,824
W01001759,Cardiff 046A,825
W01000529,Ceredigion 007A,826
W01000740,Swansea 014C,827
W01001016,Bridgend 005C,828
W01000138,Conwy 008A,829
W01000913,Neath Port Talbot 010B,830
W01000166,Conwy 006D,831
W01000150,Conwy 005B,832
W01001033,Bridgend 003E,833
W01000567,Pembrokeshire 002D,834
W01000096,Gwynedd 003C,835
W01001350,Caerphilly 009C,836
W01000723,Carmarthenshire 012E,837
W01001611,Newport 011A,838
W01001038,Bridgend 011C,839
W01001370,Caerphilly 023A,840
W01000109,Gwynedd 012E,841
W01000402,Wrexham 011D,842
W01000536,Ceredigion 011E,843
W01001056,Bridgend 007D,844
W01001612,Newport 011B,845
W01000193,Denbighshire 015A,846
W01000531,Ceredigion 010C,847
W01000427,Powys 011A,848
W01000627,Carmarthenshire 013C,849
W01001383,Caerphilly 010D,850
W01001291,Merthyr Tydfil 003A,851
W01000031,Isle of Anglesey 001E,852
W01001486,Torfaen 002E,853
W01001566,Monmouthshire 005A,854
W01000426,Powys 021A,855
W01000599,Pembrokeshire 009D,856
W01000677,Carmarthenshire 004B,857
W01000887,Neath Port Talbot 005A,858
W01000629,Carmarthenshire 024B,859
W01001273,Rhondda Cynon Taf 010E,860
W01000001,Isle of Anglesey 007A,861
W01000208,Denbighshire 016C,862
W01000537,Ceredigion 008D,863
W01000894,Neath Port Talbot 013A,864
W01001603,Newport 012C,865
W01000253,Flintshire 003A,866
W01001296,Merthyr Tydfil 002B,867
W01001346,Caerphilly 020D,868
W01000205,Denbighshire 016B,869
W01001412,Caerphilly 017B,870
W01001863,Cardiff 022A,871
W01000847,Swansea 001C,872
W01000023,Isle of Anglesey 007D,873
W01000075,Gwynedd 002C,874
W01000869,Swansea 024C,875
W01000551,Ceredigion 010E,876
W01000946,Neath Port Talbot 004B,877
W01001710,Cardiff 040B,878
W01001786,Cardiff 023B,879
W01001101,The Vale of Glamorgan 013E,880
W01000528,Ceredigion 008B,881
W01000794,Swansea 010A,882
W01000696,Carmarthenshire 012C,883
W01000728,Carmarthenshire 003D,884
W01001391,Caerphilly 006F,885
W01001493,Torfaen 008A,886
W01001088,The Vale of Glamorgan 006C,887
W01000452,Powys 004B,888
W01001186,Rhondda Cynon Taf 001A,889
W01000113,Gwynedd 009C,890
W01000747,Swansea 024A,891
W01000071,Gwynedd 003B,892
W01001648,Newport 015G,893
W01000231,Denbighshire 017A,894
W01000820,Swansea 009D,895
W01000593,Pembrokeshire 010C,896
W01000134,Conwy 015B,897
W01000191,Denbighshire 009A,898
W01000725,Carmarthenshire 011D,899
W01001143,Rhondda Cynon Taf 012A,900
W01000898,Neath Port Talbot 014A,901
W01001925,Carmarthenshire 023F,902
W01001837,Cardiff 030C,903
W01000662,Carmarthenshire 016A,904
W01001432,Caerphilly 013D,905
W01000757,Swansea 017C,906
W01000971,Neath Port Talbot 004G,907
W01000871,Swansea 026B,908
W01001938,Swansea 025E,909
W01000066,Gwynedd 010A,910
W01001818,Cardiff 009D,911
W01000171,Conwy 013D,912
W01000424,Wrexham 012E,913
W01001562,Monmouthshire 003B,914
W01000024,Isle of Anglesey 007E,915
W01000546,Ceredigion 009F,916
W01001367,Caerphilly 019B,917
W01001649,Newport 004D,918
W01000319,Flintshire 016G,919
W01001932,Gwynedd 014E,920
W01000764,Swansea 015B,921
W01001304,Merthyr Tydfil 006D,922
W01000518,Ceredigion 003C,923
W01001829,Cardiff 033A,924
W01000361,Wrexham 019E,925
W01000105,Gwynedd 010C,926
W01000337,Flintshire 009F,927
W01000650,Carmarthenshire 002B,928
W01001102,The Vale of Glamorgan 013F,929
W01000821,Swansea 009E,930
W01000643,Carmarthenshire 006A,931
W01001580,Monmouthshire 002E,932
W01000006,Isle of Anglesey 006A,933
W01000060,Gwynedd 015B,934
W01001359,Caerphilly 006D,935
W01001161,Rhondda Cynon Taf 029B,936
W01000693,Carmarthenshire 008C,937
W01000283,Flintshire 008E,938
W01000763,Swansea 015A,939
W01001347,Caerphilly 005C,940
W01000032,Isle of Anglesey 002D,941
W01001403,Caerphilly 011C,942
W01000026,Isle of Anglesey 005D,943
W01000104,Gwynedd 008C,944
W01001446,Blaenau Gwent 002A,945
W01000544,Ceredigion 007C,946
W01000461,Powys 001A,947
W01001310,Merthyr Tydfil 002E,948
W01001373,Caerphilly 022C,949
W01001720,Cardiff 028C,950
W01000576,Pembrokeshire 011D,951
W01001269,Rhondda Cynon Taf 010A,952
W01001922,Cardiff 032E,953
W01000043,Isle of Anglesey 004E,954
W01001431,Caerphilly 015C,955
W01001814,Cardiff 017E,956
W01000164,Conwy 009F,957
W01001908,Monmouthshire 010G,958
W01000219,Denbighshire 001B,959
W01000687,Carmarthenshire 004C,960
W01001806,Cardiff 015D,961
W01000509,Ceredigion 009C,962
W01001416,Caerphilly 008C,963
W01000305,Flintshire 003F,964
W01000502,Powys 021C,965
W01000123,Conwy 013A,966
W01000630,Carmarthenshire 024C,967
W01000541,Ceredigion 008E,968
W01000021,Isle of Anglesey 002C,969
W01000559,Pembrokeshire 001B,970
W01000349,Wrexham 011A,971
W01000007,Isle of Anglesey 009A,972
W01001305,Merthyr Tydfil 003C,973
W01001366,Caerphilly 019A,974
W01000954,Neath Port Talbot 005C,975
W01001369,Caerphilly 012D,976
W01000959,Neath Port Talbot 017E,977
W01001439,Blaenau Gwent 004B,978
W01000539,Ceredigion 005D,979
W01000018,Isle of Anglesey 001C,980
W01001184,Rhondda Cynon Taf 026A,981
W01001129,The Vale of Glamorgan 004F,982
W01001520,Torfaen 007B,983
W01000713,Carmarthenshire 015E,984
W01001756,Cardiff 025B,985
W01001534,Torfaen 012C,986
W01000108,Gwynedd 012D,987
W01001824,Cardiff 029C,988
W01001587,Monmouthshire 008C,989
W01001195,Rhondda Cynon Taf 030C,990
W01000806,Swansea 003A,991
W01000456,Powys 013C,992
W01000919,Neath Port Talbot 020A,993
W01001452,Blaenau Gwent 007C,994
W01001472,Blaenau Gwent 003A,995
W01000647,Carmarthenshire 002A,996
W01001344,Caerphilly 020C,997
W01000774,Swansea 005B,998
W01000648,Carmarthenshire 006D,999
W01000400,Wrexham 005C,1000
W01000543,Ceredigion 011C,1001
W01000192,Denbighshire 016A,1002
W01001615,Newport 005B,1003
W01000496,Powys 021B,1004
W01000077,Gwynedd 001C,1005
W01001511,Torfaen 005B,1006
W01000487,Powys 012E,1007
W01001510,Torfaen 005A,1008
W01001000,Bridgend 010B,1009
W01000558,Pembrokeshire 001A,1010
W01000926,Neath Port Talbot 003C,1011
W01000691,Carmarthenshire 019B,1012
W01000974,Bridgend 006A,1013
W01000315,Flintshire 016C,1014
W01000628,Carmarthenshire 024A,1015
W01000351,Wrexham 005A,1016
W01000027,Isle of Anglesey 009C,1017
W01000037,Isle of Anglesey 003G,1018
W01000614,Pembrokeshire 008D,1019
W01000575,Pembrokeshire 008C,1020
W01000455,Powys 013B,1021
W01001951,Cardiff 049E,1022
W01000062,Gwynedd 001A,1023
W01001226,Rhondda Cynon Taf 031F,1024
W01001147,Rhondda Cynon Taf 004A,1025
W01001675,Newport 007A,1026
W01000918,Neath Port Talbot 002A,1027
W01000842,Swansea 005D,1028
W01000068,Gwynedd 016E,1029
W01000674,Carmarthenshire 027A,1030
W01000014,Isle of Anglesey 006C,1031
W01000949,Neath Port Talbot 018A,1032
W01000107,Gwynedd 010E,1033
W01001458,Blaenau Gwent 004E,1034
W01000571,Pembrokeshire 006A,1035
W01000803,Swansea 002F,1036
W01000755,Swansea 017A,1037
W01001204,Rhondda Cynon Taf 006A,1038
W01000222,Denbighshire 003C,1039
W01001680,Newport 007E,1040
W01001861,Cardiff 034D,1041
W01001564,Monmouthshire 003D,1042
W01000582,Pembrokeshire 004A,1043
W01000159,Conwy 014B,1044
W01000050,Gwynedd 003A,1045
W01001241,Rhondda Cynon Taf 026D,1046
W01000986,Bridgend 007A,1047
W01000689,Carmarthenshire 003C,1048
W01001470,Blaenau Gwent 001D,1049
W01001076,The Vale of Glamorgan 004B,1050
W01000584,Pembrokeshire 014C,1051
W01000701,Carmarthenshire 001C,1052
W01000471,Powys 014E,1053
W01000538,Ceredigion 005C,1054
W01001318,Merthyr Tydfil 005D,1055
W01000371,Wrexham 008B,1056
W01000035,Isle of Anglesey 005E,1057
W01000082,Gwynedd 015C,1058
W01000857,Swansea 022E,1059
W01000242,Denbighshire 014A,1060
W01000779,Swansea 012D,1061
W01001058,Bridgend 006C,1062
W01001236,Rhondda Cynon Taf 021G,1063
W01000309,Flintshire 019C,1064
W01001556,Monmouthshire 006B,1065
W01000232,Denbighshire 017B,1066
W01000313,Flintshire 016A,1067
W01001389,Caerphilly 007E,1068
W01000666,Carmarthenshire 017B,1069
W01000291,Flintshire 005B,1070
W01000209,Denbighshire 016D,1071
W01000635,Carmarthenshire 025A,1072
W01000489,Powys 017A,1073
W01001684,Newport 006E,1074
W01000579,Pembrokeshire 003A,1075
W01000979,Bridgend 015A,1076
W01001039,Bridgend 009E,1077
W01000297,Flintshire 003D,1078
W01000598,Pembrokeshire 009C,1079
W01000639,Carmarthenshire 007C,1080
W01001324,Merthyr Tydfil 003E,1081
W01001809,Cardiff 017A,1082
W01000829,Swansea 018C,1083
W01000519,Ceredigion 010A,1084
W01000595,Pembrokeshire 007C,1085
W01001419,Caerphilly 021D,1086
W01001599,Monmouthshire 004F,1087
W01000700,Carmarthenshire 027G,1088
W01000671,Carmarthenshire 018B,1089
W01000709,Carmarthenshire 004D,1090
W01001683,Newport 006D,1091
W01000808,Swansea 003C,1092
W01000064,Gwynedd 002A,1093
W01000412,Wrexham 015D,1094
W01000103,Gwynedd 005D,1095
W01000673,Carmarthenshire 027F,1096
W01000915,Neath Port Talbot 010D,1097
W01000667,Carmarthenshire 023C,1098
W01001263,Rhondda Cynon Taf 022E,1099
W01000563,Pembrokeshire 011B,1100
W01001492,Torfaen 012A,1101
W01001712,Cardiff 040D,1102
W01000574,Pembrokeshire 015A,1103
W01000645,Carmarthenshire 006C,1104
W01000189,Conwy 015F,1105
W01000185,Conwy 015E,1106
W01000550,Ceredigion 011G,1107
W01001906,Powys 001F,1108
W01000613,Pembrokeshire 001E,1109
W01000916,Neath Port Talbot 010E,1110
W01001840,Cardiff 007D,1111
W01000560,Pembrokeshire 001C,1112
W01000653,Carmarthenshire 023A,1113
W01001327,Caerphilly 014A,1114
W01000025,Isle of Anglesey 009B,1115
W01000110,Gwynedd 006D,1116
W01001240,Rhondda Cynon Taf 026C,1117
W01000422,Wrexham 008F,1118
W01001930,Wrexham 019F,1119
W01001567,Monmouthshire 005B,1120
W01000612,Pembrokeshire 003C,1121
W01001380,Caerphilly 010A,1122
W01000889,Neath Port Talbot 015A,1123
W01000395,Wrexham 016B,1124
W01001372,Caerphilly 022B,1125
W01000004,Isle of Anglesey 001B,1126
W01000720,Carmarthenshire 027B,1127
W01000364,Wrexham 006E,1128
W01000473,Powys 004C,1129
W01001726,Cardiff 028E,1130
W01000540,Ceredigion 005E,1131
W01000431,Powys 014A,1132
W01001463,Blaenau Gwent 006B,1133
W01001718,Cardiff 028A,1134
W01001912,Newport 020E,1135
W01001535,Torfaen 012D,1136
W01000433,Powys 006A,1137
W01000721,Carmarthenshire 027C,1138
W01001593,Monmouthshire 008E,1139
W01000500,Powys 003C,1140
W01000524,Ceredigion 005B,1141
W01001839,Cardiff 030E,1142
W01000716,Carmarthenshire 016D,1143
W01001865,Cardiff 022C,1144
W01000047,Gwynedd 011A,1145
W01000247,Denbighshire 010C,1146
W01000565,Pembrokeshire 002B,1147
W01000888,Neath Port Talbot 004A,1148
W01000162,Conwy 014C,1149
W01000269,Flintshire 020A,1150
W01000051,Gwynedd 015A,1151
W01001407,Caerphilly 016A,1152
W01000002,Isle of Anglesey 007B,1153
W01000114,Gwynedd 009D,1154
W01000341,Wrexham 009A,1155
W01000561,Pembrokeshire 001D,1156
W01000233,Denbighshire 017C,1157
W01001017,Bridgend 002C,1158
W01000449,Powys 011C,1159
W01000798,Swansea 010C,1160
W01000049,Gwynedd 016B,1161
W01000251,Flintshire 013A,1162
W01000460,Powys 006B,1163
W01000225,Denbighshire 009D,1164
W01000581,Pembrokeshire 003B,1165
W01001230,Rhondda Cynon Taf 017C,1166
W01000147,Conwy 001C,1167
W01000875,Swansea 026D,1168
W01001943,Cardiff 048B,1169
W01001357,Caerphilly 006B,1170
W01000618,Pembrokeshire 003D,1171
W01000501,Powys 003D,1172
W01001958,Swansea 025H,1173
W01001937,Ceredigion 001F,1174
W01000128,Conwy 009C,1175
W01000074,Gwynedd 013B,1176
W01001629,Newport 017A,1177
W01001146,Rhondda Cynon Taf 012D,1178
W01001722,Cardiff 028D,1179
W01000069,Gwynedd 013A,1180
W01000553,Pembrokeshire 011A,1181
W01001397,Caerphilly 019E,1182
W01001817,Cardiff 009C,1183
W01000311,Flintshire 011A,1184
W01000410,Wrexham 014D,1185
W01000474,Powys 020B,1186
W01000813,Swansea 008D,1187
W01000118,Gwynedd 007D,1188
W01000620,Pembrokeshire 016C,1189
W01000492,Powys 017D,1190
W01000735,Carmarthenshire 027D,1191
W01000354,Wrexham 017A,1192
W01001584,Monmouthshire 008B,1193
W01001594,Monmouthshire 007E,1194
W01000758,Swansea 017D,1195
W01000079,Gwynedd 013C,1196
W01000380,Wrexham 004D,1197
W01000731,Carmarthenshire 017C,1198
W01000878,Swansea 007F,1199
W01000190,Conwy 014D,1200
W01000572,Pembrokeshire 005D,1201
W01001228,Rhondda Cynon Taf 021D,1202
W01001257,Rhondda Cynon Taf 019D,1203
W01000153,Conwy 009D,1204
W01000338,Flintshire 001C,1205
W01001062,The Vale of Glamorgan 013A,1206
W01000121,Conwy 015A,1207
W01000081,Gwynedd 005B,1208
W01000057,Gwynedd 016C,1209
W01000692,Carmarthenshire 019C,1210
W01000486,Powys 011G,1211
W01001953,Cardiff 005G,1212
W01000034,Isle of Anglesey 004B,1213
W01001005,Bridgend 009B,1214
W01000122,Conwy 014A,1215
W01000256,Flintshire 015B,1216
W01001548,Monmouthshire 001B,1217
W01000545,Ceredigion 007D,1218
W01001354,Caerphilly 014D,1219
W01000532,Ceredigion 007B,1220
W01001028,Bridgend 014D,1221
W01000477,Powys 012D,1222
W01001515,Torfaen 006B,1223
W01001754,Cardiff 031D,1224
W01001674,Newport 009E,1225
W01000578,Pembrokeshire 014B,1226
W01001613,Newport 011C,1227
W01000448,Powys 011B,1228
W01000365,Wrexham 011C,1229
W01001576,Monmouthshire 004D,1230
W01000005,Isle of Anglesey 005A,1231
W01001377,Caerphilly 013A,1232
W01001246,Rhondda Cynon Taf 025D,1233
W01000227,Denbighshire 004B,1234
W01000089,Gwynedd 011D,1235
W01000470,Powys 001D,1236
W01000331,Flintshire 015F,1237
W01000442,Powys 004A,1238
W01001815,Cardiff 008D,1239
W01000642,Carmarthenshire 008B,1240
W01000391,Wrexham 003D,1241
W01000067,Gwynedd 016D,1242
W01000679,Carmarthenshire 002D,1243
W01001877,Cardiff 011A,1244
W01000873,Swansea 026C,1245
W01000040,Isle of Anglesey 004D,1246
W01000398,Wrexham 013A,1247
W01000434,Powys 007A,1248
W01000475,Powys 001E,1249
W01000497,Powys 005D,1250
W01001907,Powys 001G,1251
W01001716,Cardiff 035C,1252
W01001571,Monmouthshire 001D,1253
W01000377,Wrexham 004A,1254
W01000430,Powys 015A,1255
W01000684,Carmarthenshire 005D,1256
W01001442,Blaenau Gwent 001C,1257
W01000070,Gwynedd 012A,1258
W01000984,Bridgend 016D,1259
W01000494,Powys 015E,1260
W01000822,Swansea 009F,1261
W01000459,Powys 014D,1262
W01000651,Carmarthenshire 020A,1263
W01000997,Bridgend 012A,1264
W01000573,Pembrokeshire 006B,1265
W01000099,Gwynedd 005C,1266
W01001893,Cardiff 010B,1267
W01000445,Powys 015C,1268
W01000488,Powys 006C,1269
W01001891,Cardiff 020C,1270
W01001425,Caerphilly 024D,1271
W01000339,Flintshire 019D,1272
W01000623,Pembrokeshire 004D,1273
W01000275,Flintshire 007C,1274
W01001947,Cardiff 048E,1275
W01000136,Conwy 006B,1276
W01000664,Carmarthenshire 016C,1277
W01001077,The Vale of Glamorgan 004C,1278
W01000712,Carmarthenshire 015D,1279
W01000675,Carmarthenshire 012A,1280
W01001579,Monmouthshire 001E,1281
W01001399,Caerphilly 023E,1282
W01001316,Merthyr Tydfil 005B,1283
W01000295,Flintshire 005D,1284
W01000088,Gwynedd 007B,1285
W01001507,Torfaen 008D,1286
W01000308,Flintshire 020C,1287
W01000583,Pembrokeshire 004B,1288
W01000982,Bridgend 016C,1289
W01001831,Cardiff 030A,1290
W01001157,Rhondda Cynon Taf 028A,1291
W01000131,Conwy 012D,1292
W01000148,Conwy 015D,1293
W01000766,Swansea 015D,1294
W01001889,Cardiff 020B,1295
W01000464,Powys 011D,1296
W01001048,Bridgend 008B,1297
W01001108,The Vale of Glamorgan 014A,1298
W01000564,Pembrokeshire 011C,1299
W01000548,Ceredigion 001D,1300
W01000585,Pembrokeshire 007B,1301
W01000507,Ceredigion 009A,1302
W01000513,Ceredigion 002B,1303
W01001484,Torfaen 002C,1304
W01001264,Rhondda Cynon Taf 022F,1305
W01001040,Bridgend 009F,1306
W01000556,Pembrokeshire 008B,1307
W01001420,Caerphilly 022D,1308
W01000428,Powys 005A,1309
W01001151,Rhondda Cynon Taf 003C,1310
W01000523,Ceredigion 001C,1311
W01000039,Isle of Anglesey 004C,1312
W01001118,The Vale of Glamorgan 014C,1313
W01000266,Flintshire 017E,1314
W01001109,The Vale of Glamorgan 011C,1315
W01000271,Flintshire 006C,1316
W01000686,Carmarthenshire 001B,1317
W01001933,Gwynedd 017F,1318
W01000125,Conwy 013B,1319
W01001409,Caerphilly 016C,1320
W01000784,Swansea 007A,1321
W01001003,Bridgend 015D,1322
W01000484,Powys 011E,1323
W01000562,Pembrokeshire 002A,1324
W01000690,Carmarthenshire 019A,1325
W01000597,Pembrokeshire 002E,1326
W01001838,Cardiff 030D,1327
W01001568,Monmouthshire 005C,1328
W01000255,Flintshire 015A,1329
W01000359,Wrexham 019C,1330
W01000389,Wrexham 017D,1331
W01000224,Denbighshire 009C,1332
W01000083,Gwynedd 015D,1333
W01001882,Cardiff 011C,1334
W01000019,Isle of Anglesey 005C,1335
W01001490,Torfaen 001D,1336
W01000699,Carmarthenshire 015C,1337
W01000115,Gwynedd 003E,1338
W01000124,Conwy 012A,1339
W01000248,Denbighshire 008D,1340
W01000211,Denbighshire 012D,1341
W01000955,Neath Port Talbot 004E,1342
W01000230,Denbighshire 017F,1343
W01000917,Neath Port Talbot 010F,1344
W01001499,Torfaen 011C,1345
W01001672,Newport 009C,1346
W01000557,Pembrokeshire 014A,1347
W01000517,Ceredigion 002D,1348
W01000552,Ceredigion 011D,1349
W01001569,Monmouthshire 003E,1350
W01000547,Ceredigion 009G,1351
W01000663,Carmarthenshire 016B,1352
W01001858,Cardiff 034A,1353
W01000094,Gwynedd 012B,1354
W01000177,Conwy 011E,1355
W01000429,Powys 010A,1356
W01000137,Conwy 015C,1357
W01001505,Torfaen 013B,1358
W01000622,Pembrokeshire 008E,1359
W01000451,Powys 012B,1360
W01000843,Swansea 005E,1361
W01001244,Rhondda Cynon Taf 025B,1362
W01000727,Carmarthenshire 019E,1363
W01000170,Conwy 013C,1364
W01000577,Pembrokeshire 007A,1365
W01001724,Cardiff 032C,1366
W01001905,Powys 018H,1367
W01000453,Powys 010B,1368
W01001721,Cardiff 032A,1369
W01000458,Powys 002C,1370
W01001027,Bridgend 017C,1371
W01000258,Flintshire 006A,1372
W01000704,Carmarthenshire 022B,1373
W01000101,Gwynedd 013D,1374
W01000020,Isle of Anglesey 002B,1375
W01000457,Powys 002B,1376
W01001540,Torfaen 004E,1377
W01000347,Wrexham 006A,1378
W01000634,Carmarthenshire 021C,1379
W01000447,Powys 007C,1380
W01000905,Neath Port Talbot 006D,1381
W01001553,Monmouthshire 004B,1382
W01001859,Cardiff 034B,1383
W01000616,Pembrokeshire 011F,1384
W01001117,The Vale of Glamorgan 014B,1385
W01001252,Rhondda Cynon Taf 024D,1386
W01000206,Denbighshire 013C,1387
W01000796,Swansea 006B,1388
W01000095,Gwynedd 012C,1389
W01000294,Flintshire 005C,1390
W01001626,Newport 001D,1391
W01000084,Gwynedd 014D,1392
W01001747,Cardiff 027A,1393
W01000682,Carmarthenshire 005B,1394
W01000073,Gwynedd 008A,1395
W01000923,Neath Port Talbot 007D,1396
W01000797,Swansea 010B,1397
W01000390,Wrexham 020C,1398
W01000252,Flintshire 010A,1399
W01001913,Newport 020F,1400
W01001306,Merthyr Tydfil 003D,1401
W01000694,Carmarthenshire 008D,1402
W01001122,The Vale of Glamorgan 014F,1403
W01001417,Caerphilly 008D,1404
W01001012,Bridgend 005A,1405
W01001836,Cardiff 030B,1406
W01000596,Pembrokeshire 007D,1407
W01001030,Bridgend 019B,1408
W01000012,Isle of Anglesey 006B,1409
W01000280,Flintshire 010B,1410
W01000279,Flintshire 008C,1411
W01000363,Wrexham 006D,1412
W01000506,Ceredigion 005A,1413
W01001495,Torfaen 008C,1414
W01001822,Cardiff 029A,1415
W01000676,Carmarthenshire 004A,1416
W01000080,Gwynedd 014C,1417
W01000383,Wrexham 020A,1418
W01000555,Pembrokeshire 008A,1419
W01000554,Pembrokeshire 009A,1420
W01000472,Powys 012C,1421
W01000375,Wrexham 003B,1422
W01000580,Pembrokeshire 009B,1423
W01001214,Rhondda Cynon Taf 011B,1424
W01000119,Gwynedd 004D,1425
W01001757,Cardiff 025C,1426
W01000649,Carmarthenshire 006E,1427
W01000183,Conwy 008E,1428
W01000126,Conwy 009A,1429
W01000759,Swansea 012A,1430
W01001379,Caerphilly 013C,1431
W01001950,Cardiff 049D,1432
W01000933,Neath Port Talbot 019B,1433
W01001011,Bridgend 012C,1434
W01001382,Caerphilly 010C,1435
W01000100,Gwynedd 010B,1436
W01001583,Monmouthshire 007B,1437
W01000485,Powys 011F,1438
W01000261,Flintshire 014C,1439
W01000680,Carmarthenshire 011A,1440
W01001897,Powys 020D,1441
W01000877,Swansea 007E,1442
W01000902,Neath Port Talbot 006A,1443
W01000053,Gwynedd 004B,1444
W01000775,Swansea 030A,1445
W01000771,Swansea 020D,1446
W01000116,Gwynedd 017D,1447
W01000281,Flintshire 008D,1448
W01001559,Monmouthshire 008A,1449
W01000076,Gwynedd 001B,1450
W01001582,Monmouthshire 011D,1451
W01000892,Neath Port Talbot 015D,1452
W01000072,Gwynedd 002B,1453
W01001500,Torfaen 011D,1454
W01000310,Flintshire 020D,1455
W01000938,Neath Port Talbot 008C,1456
W01000609,Pembrokeshire 014D,1457
W01000450,Powys 014C,1458
W01001864,Cardiff 022B,1459
W01001677,Newport 007C,1460
W01000446,Powys 015D,1461
W01001944,Cardiff 048C,1462
W01001563,Monmouthshire 003C,1463
W01000188,Conwy 002D,1464
W01001752,Cardiff 031B,1465
W01000388,Wrexham 008E,1466
W01001517,Torfaen 006D,1467
W01000267,Flintshire 017F,1468
W01001242,Rhondda Cynon Taf 030D,1469
W01001423,Caerphilly 024B,1470
W01000301,Flintshire 006E,1471
W01000443,Powys 015B,1472
W01001190,Rhondda Cynon Taf 029D,1473
W01000276,Flintshire 008A,1474
W01000277,Flintshire 008B,1475
W01000644,Carmarthenshire 006B,1476
W01001125,The Vale of Glamorgan 005D,1477
W01001608,Newport 008B,1478
W01000345,Wrexham 018A,1479
W01000106,Gwynedd 010D,1480
W01001542,Monmouthshire 009A,1481
W01000155,Conwy 004A,1482
W01001725,Cardiff 032D,1483
W01000200,Denbighshire 008A,1484
W01000010,Isle of Anglesey 002A,1485
W01001789,Cardiff 023E,1486
W01001888,Cardiff 010A,1487
W01000503,Powys 020C,1488
W01000054,Gwynedd 007A,1489
W01001758,Cardiff 025D,1490
W01001654,Newport 002D,1491
W01000569,Pembrokeshire 005B,1492
W01000404,Wrexham 018D,1493
W01000476,Powys 005C,1494
W01001940,Cardiff 048A,1495
W01000130,Conwy 012C,1496
W01000418,Wrexham 020E,1497
W01001914,Rhondda Cynon Taf 023F,1498
W01001508,Torfaen 013C,1499
W01001781,Cardiff 026C,1500
W01001755,Cardiff 025A,1501
W01000439,Powys 007B,1502
W01001392,Caerphilly 009D,1503
W01001047,Bridgend 018D,1504
W01000260,Flintshire 017B,1505
W01000610,Pembrokeshire 016A,1506
W01001124,The Vale of Glamorgan 005C,1507
W01001616,Newport 005C,1508
W01001945,Cardiff 048D,1509
W01000156,Conwy 004B,1510
W01000207,Denbighshire 015C,1511
W01000272,Flintshire 006D,1512
W01000444,Powys 002A,1513
W01000876,Swansea 026E,1514
W01001860,Cardiff 034C,1515
W01000624,Carmarthenshire 005A,1516
W01000467,Powys 010D,1517
W01000202,Denbighshire 015B,1518
W01000883,Neath Port Talbot 016A,1519
W01001904,Powys 018G,1520
W01000715,Carmarthenshire 013E,1521
W01000223,Denbighshire 009B,1522
W01001537,Torfaen 007E,1523
W01001565,Monmouthshire 006D,1524
W01000466,Powys 010C,1525
W01000465,Powys 018E,1526
W01000235,Denbighshire 017D,1527
W01001575,Monmouthshire 005D,1528
W01001514,Torfaen 006A,1529
W01000611,Pembrokeshire 004C,1530
W01000403,Wrexham 018C,1531
W01001191,Rhondda Cynon Taf 031A,1532
W01001921,Bridgend 017H,1533
W01001770,Cardiff 018B,1534
W01001199,Rhondda Cynon Taf 027E,1535
W01001029,Bridgend 019A,1536
W01001775,Cardiff 021B,1537
W01000776,Swansea 030B,1538
W01000440,Powys 020A,1539
W01001844,Cardiff 003D,1540
W01000619,Pembrokeshire 016B,1541
W01001926,Conwy 011F,1542
W01000212,Denbighshire 003A,1543
W01001126,The Vale of Glamorgan 005E,1544
W01000722,Carmarthenshire 012D,1545
W01001560,Monmouthshire 006C,1546
W01000910,Neath Port Talbot 009B,1547
W01000093,Gwynedd 006B,1548
W01001434,Caerphilly 013F,1549
W01001554,Monmouthshire 004C,1550
W01001059,The Vale of Glamorgan 015A,1551
W01000482,Powys 008C,1552
W01001104,The Vale of Glamorgan 004E,1553
